"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","lng","lat","phylum","class","order","family","genus","cx_int_no"
"929659","occ","","","106330","Hesperornis regalis","species","96488","","Hesperornis regalis","species","96488","Early Campanian","","83.6","72.2","35475","-128.240280","69.322220","Chordata","Saurischia","Hesperornithiformes","Hesperornithidae","Hesperornis","113"
"929661","occ","","","106331","Hesperornis regalis","species","96488","","Hesperornis regalis","species","96488","Early Campanian","","83.6","72.2","35475","-128.277222","69.312225","Chordata","Saurischia","Hesperornithiformes","Hesperornithidae","Hesperornis","113"
"929665","occ","","","106332","Hesperornis regalis","species","96488","","Hesperornis regalis","species","96488","Early Campanian","","83.6","72.2","35475","-128.297775","69.301392","Chordata","Saurischia","Hesperornithiformes","Hesperornithidae","Hesperornis","113"
"929668","occ","","","106334","Hesperornis regalis","species","96488","","Hesperornis regalis","species","96488","Early Campanian","","83.6","72.2","35475","-128.259720","69.316391","Chordata","Saurischia","Hesperornithiformes","Hesperornithidae","Hesperornis","113"
"929678","occ","","","106341","Hesperornis regalis","species","96488","","Hesperornis regalis","species","96488","Early Campanian","","83.6","72.2","35475","-128.148605","69.385834","Chordata","Saurischia","Hesperornithiformes","Hesperornithidae","Hesperornis","113"
"930764","occ","","","15595","cf. Coturnipes cooperi","species","423144","","Coturnipes cooperi","species","423144","Ypresian","","56","48.07","35577","-77.367226","38.285000","Chordata","Saurischia","Galliformes","Phasianidae","Coturnipes","109"
"930849","occ","","","105831","Sellosaurus gracilis","species","54996","recombined as","Plateosaurus gracilis","species","54996","Norian","","227.3","205.7","25583","8.636111","48.075001","Chordata","Saurischia","NO_ORDER_SPECIFIED","Plateosauridae","Plateosaurus","136"
"930951","occ","","","106532","Dyslocosaurus polyonychius n. gen. n. sp.","species","157546","","Dyslocosaurus polyonychius","species","157546","Kimmeridgian","Tithonian","154.8","143.1","31175","-104.286110","43.242500","Chordata","Saurischia","NO_ORDER_SPECIFIED","Dicraeosauridae","Dyslocosaurus","41"
"931128","occ","","","106569","Blikanasaurus cromptoni","species","55644","","Blikanasaurus cromptoni","species","55644","Norian","Rhaetian","227.3","201.4","35639","27.341667","-29.219999","Chordata","Saurischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Blikanasaurus","44"
"931162","occ","36102","","106571","Melanorosaurus readi","species","54980","","Melanorosaurus readi","species","54980","Norian","Rhaetian","227.3","201.4","35640","27.341667","-29.219999","Chordata","Saurischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Melanorosaurus","44"
"933075","occ","","","107176","Eucnemesaurus fortis","species","56614","","Eucnemesaurus fortis","species","56614","Norian","Rhaetian","227.3","201.4","35696","27.933332","-28.500000","Chordata","Saurischia","NO_ORDER_SPECIFIED","Riojasauridae","Eucnemesaurus","44"
"933527","occ","","","96815","Zhuchengtyrannus magnus n. gen. n. sp.","species","182141","","Zhuchengtyrannus magnus","species","182141","Campanian","","83.6","72.2","35717","120.984718","37.465832","Chordata","Saurischia","NO_ORDER_SPECIFIED","Tyrannosauridae","Zhuchengtyrannus","113"
"934298","occ","","","82258","Pedioecetes phasianellus","species","129748","recombined as","Tympanuchus phasianellus","species","129746","Late Pleistocene","","0.129","0.0117","35381","-79.083054","38.357777","Chordata","Saurischia","Galliformes","Phasianidae","Tympanuchus","922"
"935231","occ","","","48422","Daemonosaurus chauliodus n. gen. n. sp.","species","182713","","Daemonosaurus chauliodus","species","182713","Rhaetian","","205.7","201.4","35814","-106.473099","36.331699","Chordata","Saurischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Daemonosaurus","135"
"935638","occ","","","58489","Limusaurus inextricabilis","species","148871","","Limusaurus inextricabilis","species","148871","Oxfordian","","161.5","154.8","35849","88.921700","45.171223","Chordata","Saurischia","NO_ORDER_SPECIFIED","Noasauridae","Limusaurus","126"
"935640","occ","","","107804","Limusaurus inextricabilis","species","148871","","Limusaurus inextricabilis","species","148871","Oxfordian","","161.5","154.8","35849","88.921700","45.171223","Chordata","Saurischia","NO_ORDER_SPECIFIED","Noasauridae","Limusaurus","126"
"936158","occ","","IF","107973","Eubrontes glenrosensis","species","68310","","Eubrontes glenrosensis","species","68310","Early Jurassic","","201.4","174.7","35855","108.561668","41.371666","Chordata","Saurischia","NO_ORDER_SPECIFIED","Grallatoridae","Eubrontes","43"
"936159","occ","","IF","107973","Kayentapus hailiutuensis n. sp.","species","183257","","Kayentapus hailiutuensis","species","183257","Early Jurassic","","201.4","174.7","35855","108.561668","41.371666","Chordata","Saurischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Kayentapus","43"
"936160","occ","","I","107973","Anomoepus intermedius","species","67389","","Anomoepus scambus","species","67417","Early Jurassic","","201.4","174.7","35855","108.561668","41.371666","Chordata","Ornithischia","NO_ORDER_SPECIFIED","Moyenisauropodidae","Anomoepus","43"
"937811","occ","36188","","108341","Avimimus portentosus","species","55489","","Avimimus portentosus","species","55489","Maastrichtian","","72.2","66","70806","107.766670","43.591110","Chordata","Saurischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Avimimus","112"
