"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","lng","lat","phylum","class","order","family","genus","cx_int_no"
"130209","occ","","","10755","Chaoyangosaurus liaosiensis n. gen. n. sp.","species","65704","","Chaoyangsaurus youngi","species","55580","Late Kimmeridgian","Valanginian","152.21","132.6","13360","123.966698","42.933300","Chordata","Ornithischia","NO_ORDER_SPECIFIED","Chaoyangsauridae","Chaoyangsaurus","2"
"130294","occ","","","10764","Protarchaeopteryx robusta n. gen. n. sp.","species","66068","","Protarchaeopteryx robusta","species","66068","Late Barremian","Early Aptian","125.77","119.57","4006","120.733330","41.799999","Chordata","Saurischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Protarchaeopteryx","40"
"130295","occ","","","10764","Caudipteryx zoui n. gen. n. sp.","species","66066","","Caudipteryx zoui","species","66066","Late Barremian","Early Aptian","125.77","119.57","19421","120.733330","41.799999","Chordata","Saurischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Caudipteryx","40"
"139242","occ","24752","","11890","Gorgosaurus sternbergi n. sp.","species","63900","","Gorgosaurus libratus","species","53194","Late Campanian","","83.6","72.2","13165","-111.528732","50.740726","Chordata","Saurischia","NO_ORDER_SPECIFIED","Tyrannosauridae","Gorgosaurus","113"
"139250","occ","23301","","11893","Gorgosaurus libratus","species","53194","","Gorgosaurus libratus","species","53194","Late Campanian","","83.6","72.2","4205","-111.549347","50.737015","Chordata","Saurischia","NO_ORDER_SPECIFIED","Tyrannosauridae","Gorgosaurus","113"
"139251","occ","","","11894","Centrosaurus apertus","species","63911","","Centrosaurus apertus","species","63911","Late Campanian","","83.6","72.2","16964","-111.528931","50.737297","Chordata","Ornithischia","NO_ORDER_SPECIFIED","Ceratopsidae","Centrosaurus","113"
"139252","occ","23302","","11895","Gorgosaurus libratus","species","53194","","Gorgosaurus libratus","species","53194","Late Campanian","","83.6","72.2","4205","-111.564636","50.723866","Chordata","Saurischia","NO_ORDER_SPECIFIED","Tyrannosauridae","Gorgosaurus","113"
"139253","occ","18699","","11896","Gorgosaurus libratus","species","53194","","Gorgosaurus libratus","species","53194","Late Campanian","","83.6","72.2","4205","-111.525337","50.740471","Chordata","Saurischia","NO_ORDER_SPECIFIED","Tyrannosauridae","Gorgosaurus","113"
"139254","occ","13634","","11897","Gorgosaurus libratus n. gen. n. sp.","species","53194","","Gorgosaurus libratus","species","53194","Late Campanian","","83.6","72.2","17547","-111.601021","50.786999","Chordata","Saurischia","NO_ORDER_SPECIFIED","Tyrannosauridae","Gorgosaurus","113"
"139255","occ","18015","","11898","Albertosaurus sarcophagus","species","56319","","Albertosaurus sarcophagus","species","56319","Late Maastrichtian","","72.2","66","9259","-112.981903","51.804600","Chordata","Saurischia","NO_ORDER_SPECIFIED","Tyrannosauridae","Albertosaurus","112"
"139256","occ","30781","","11899","Albertosaurus sarcophagus","species","56319","","Albertosaurus sarcophagus","species","56319","Early Maastrichtian","","72.2","66","4205","-112.981903","51.819099","Chordata","Saurischia","NO_ORDER_SPECIFIED","Tyrannosauridae","Albertosaurus","112"
"139257","occ","","","11900","Albertosaurus arctunguis n. sp.","species","63710","","Albertosaurus sarcophagus","species","56319","Early Maastrichtian","","72.2","66","12347","-112.818901","51.542702","Chordata","Saurischia","NO_ORDER_SPECIFIED","Tyrannosauridae","Albertosaurus","112"
"139258","occ","18014","","11901","Albertosaurus sarcophagus n. gen. n. sp.","species","56319","","Albertosaurus sarcophagus","species","56319","Early Maastrichtian","","72.2","66","9259","-112.842300","51.469898","Chordata","Saurischia","NO_ORDER_SPECIFIED","Tyrannosauridae","Albertosaurus","112"
"139259","occ","","","11902","Albertosaurus sarcophagus","species","56319","","Albertosaurus sarcophagus","species","56319","Early Maastrichtian","","72.2","66","4205","-112.702202","51.440800","Chordata","Saurischia","NO_ORDER_SPECIFIED","Tyrannosauridae","Albertosaurus","112"
"139260","occ","23238","","11604","Titanosaurus colberti n. sp.","species","64311","recombined as","Isisaurus colberti","species","64311","Maastrichtian","","72.2","66","4177","80.366669","21.183332","Chordata","Saurischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Isisaurus","112"
"139261","occ","","","11903","Daspletosaurus torosus","species","57258","","Daspletosaurus torosus","species","57258","Late Campanian","","83.6","72.2","4205","-110.681999","49.083698","Chordata","Saurischia","NO_ORDER_SPECIFIED","Tyrannosauridae","Daspletosaurus","113"
"139290","occ","23303","","11915","Daspletosaurus torosus n. gen. n. sp.","species","57258","","Daspletosaurus torosus","species","57258","Middle Campanian","","83.6","72.2","4205","-111.485008","50.751526","Chordata","Saurischia","NO_ORDER_SPECIFIED","Tyrannosauridae","Daspletosaurus","113"
"139291","occ","38040","","11916","Albertosaurus sarcophagus","species","56319","","Albertosaurus sarcophagus","species","56319","Early Maastrichtian","","72.2","66","76179","-112.934799","51.928299","Chordata","Saurischia","NO_ORDER_SPECIFIED","Tyrannosauridae","Albertosaurus","112"
"139292","occ","22878","","11917","Tyrannosaurus rex","species","54833","","Tyrannosaurus rex","species","54833","Late Maastrichtian","","72.2","66","4218","-113.028900","51.906399","Chordata","Saurischia","NO_ORDER_SPECIFIED","Tyrannosauridae","Tyrannosaurus","112"
"139293","occ","","","11918","cf. Tyrannosaurus rex","species","54833","","Tyrannosaurus rex","species","54833","Late Maastrichtian","","72.2","66","4205","-113.233330","51.933334","Chordata","Saurischia","NO_ORDER_SPECIFIED","Tyrannosauridae","Tyrannosaurus","112"
"139294","occ","32334","","11919","Gryposaurus cf. notabilis","species","63251","","Gryposaurus notabilis","species","63251","Late Campanian","","83.6","72.2","59147","-111.529999","50.770000","Chordata","Ornithischia","NO_ORDER_SPECIFIED","Hadrosauridae","Gryposaurus","113"
"139306","occ","","","11923","Amygdalodon patagonicus n. gen. n. sp.","species","66447","","Amygdalodon patagonicus","species","66447","Pliensbachian","Early Toarcian","192.9","182.9","4208","-69.516670","-43.966667","Chordata","Saurischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Amygdalodon","43"
"139307","occ","34164","","11924","Camarasaurus grandis","species","67181","","Camarasaurus grandis","species","52961","Kimmeridgian","Tithonian","154.8","143.1","63746","-108.699989","39.068802","Chordata","Saurischia","NO_ORDER_SPECIFIED","Camarasauridae","Camarasaurus","41"
"139308","occ","","","11925","Camarasaurus supremus","species","54168","","Camarasaurus supremus","species","54168","Kimmeridgian","","154.8","149.2","4209","-108.717499","39.111668","Chordata","Saurischia","NO_ORDER_SPECIFIED","Camarasauridae","Camarasaurus","125"
"139340","occ","","","11931","Ankylosaurus magniventris n. gen. n. sp.","species","52793","","Ankylosaurus magniventris","species","52793","Late Maastrichtian","","72.2","66","4210","-106.569901","47.637699","Chordata","Ornithischia","NO_ORDER_SPECIFIED","Ankylosauridae","Ankylosaurus","112"
"144307","occ","22890","","12584","Bistahieversor sealeyi","species","163808","","Bistahieversor sealeyi","species","163808","Late Campanian","","83.6","72.2","32137","-107.966393","36.060280","Chordata","Saurischia","NO_ORDER_SPECIFIED","Tyrannosauridae","Bistahieversor","113"
"147092","occ","","","12977","Stenotholus kohleri n. gen. n. sp.","species","53215","","Pachycephalosaurus wyomingensis","species","64648","Maastrichtian","","72.2","66","4306","-106.227776","47.695831","Chordata","Ornithischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Pachycephalosaurus","112"
"148500","occ","13664","","13105","Sonorasaurus thompsoni n. gen. n. sp.","species","68170","","Sonorasaurus thompsoni","species","68170","Late Albian","Early Cenomanian","106.3","93.9","14864","-110.418053","31.811390","Chordata","Saurischia","NO_ORDER_SPECIFIED","Brachiosauridae","Sonorasaurus","14"
"148628","occ","","","13108","Mononykus olecranus","species","67288","","Mononykus olecranus","species","67287","Maastrichtian","","72.2","66","4373","99.599998","43.540001","Chordata","Saurischia","NO_ORDER_SPECIFIED","Alvarezsauridae","Mononykus","112"
"148629","occ","","","13108","Tarbosaurus bataar","species","57254","","Tarbosaurus bataar","species","63705","Maastrichtian","","72.2","66","4373","99.599998","43.540001","Chordata","Saurischia","NO_ORDER_SPECIFIED","Tyrannosauridae","Tarbosaurus","112"
"149592","occ","","","13212","Creosaurus atrox n. gen. n. sp.","species","52970","","Allosaurus fragilis","species","52962","Kimmeridgian","Tithonian","154.8","143.1","7813","-106.041000","41.893101","Chordata","Saurischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Allosaurus","41"
"149596","occ","","","13214","Creosaurus atrox","species","52970","","Allosaurus fragilis","species","52962","Kimmeridgian","Tithonian","154.8","143.1","4387","-106.389999","42.035831","Chordata","Saurischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Allosaurus","41"
"149597","occ","","","13214","Allosaurus fragilis","species","52962","","Allosaurus fragilis","species","52962","Kimmeridgian","Tithonian","154.8","143.1","4387","-106.389999","42.035831","Chordata","Saurischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Allosaurus","41"
"149600","occ","","","13214","Morosaurus grandis","species","64505","recombined as","Camarasaurus grandis","species","52961","Kimmeridgian","Tithonian","154.8","143.1","52556","-106.389999","42.035831","Chordata","Saurischia","NO_ORDER_SPECIFIED","Camarasauridae","Camarasaurus","41"
"149601","occ","","","13214","Antrodemus valens","species","64031","","Allosaurus fragilis","species","52962","Kimmeridgian","Tithonian","154.8","143.1","4387","-106.389999","42.035831","Chordata","Saurischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Allosaurus","41"
"149866","occ","","","13271","Lewisuchus admixtus n. gen. n. sp.","species","67917","","Lewisuchus admixtus","species","67917","Ladinian","","241.464","237","4399","-67.820557","-29.823055","Chordata","Ornithischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Lewisuchus","138"
"149981","occ","","","13279","Scutellosaurus lawleri n. gen. n. sp.","species","67088","","Scutellosaurus lawleri","species","67088","Sinemurian","Pliensbachian","199.5","184.2","4405","-111.027779","35.679169","Chordata","Ornithischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Scutellosaurus","43"
"149982","occ","","","13280","Scutellosaurus lawleri","species","67088","","Scutellosaurus lawleri","species","67088","Sinemurian","Pliensbachian","199.5","184.2","4405","-111.073608","35.736668","Chordata","Ornithischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Scutellosaurus","43"
"149983","occ","10063","","13281","Orodromeus makelai","species","64338","","Orodromeus makelai","species","64338","Middle Campanian","","83.6","72.2","7404","-112.182777","47.812500","Chordata","Ornithischia","NO_ORDER_SPECIFIED","Thescelosauridae","Orodromeus","113"
"149987","occ","","","13284","Goyocephale lattimorei n. gen. n. sp.","species","52838","","Goyocephale lattimorei","species","52838","Santonian","Maastrichtian","85.7","66","4408","102.066666","48.583332","Chordata","Ornithischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Goyocephale","39"
"149988","occ","19972","","13285","Efraasia minor","species","91403","","Efraasia minor","species","54997","Norian","","227.3","205.7","19481","8.978333","49.023609","Chordata","Saurischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Efraasia","136"
"149989","occ","22651","","13286","Tethyshadros insularis n. gen. n. sp.","species","161198","","Tethyshadros insularis","species","161198","Early Campanian","Middle Campanian","83.6","72.2","31507","13.588611","45.778610","Chordata","Ornithischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Tethyshadros","113"
"150138","occ","","","13301","Ichthyornis cf. dispar","species","54877","","Ichthyornis dispar","species","54877","Early Coniacian","Santonian","89.8","83.6","4419","-101.000000","39.000000","Chordata","Saurischia","Ichthyornithes","NO_FAMILY_SPECIFIED","Ichthyornis","39"
"150156","occ","","","13312","Alexornis antecedens n. gen. n. sp.","species","53319","","Alexornis antecedens","species","53319","Santonian","","85.7","83.6","4423","-115.733330","30.049999","Chordata","Saurischia","Alexornithiformes","Alexornithidae","Alexornis","114"
"150174","occ","26032","","13326","Massospondylus carinatus","species","56595","","Massospondylus carinatus","species","56595","Hettangian","Sinemurian","201.4","192.9","38488","28.623056","-28.509443","Chordata","Saurischia","NO_ORDER_SPECIFIED","Massospondylidae","Massospondylus","43"
"150238","occ","","F","13331","Megaloolithus siruguei","species","67202","","Megaloolithus siruguei","species","67202","Early Maastrichtian","","72.2","66","23594","1.078398","42.113537","Chordata","Saurischia","NO_ORDER_SPECIFIED","Megaloolithidae","Megaloolithus","112"
"150240","occ","15707","","13333","Amargasaurus cazaui n. gen. n. sp.","species","53962","","Amargasaurus cazaui","species","53962","Barremian","","125.77","121.4","5970","-70.194786","-39.481979","Chordata","Saurischia","NO_ORDER_SPECIFIED","Dicraeosauridae","Amargasaurus","120"
"150241","occ","25326","","13334","Telmatosaurus transsylvanicus","species","68154","","Telmatosaurus transsylvanicus","species","68153","Early Maastrichtian","","72.2","66","76545","22.845142","45.603615","Chordata","Ornithischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Telmatosaurus","112"
"150309","occ","","","13339","Monoclonius nasicornus n. sp.","species","56146","","Styracosaurus albertensis","species","56144","Late Campanian","","83.6","72.2","5980","-111.565781","50.742214","Chordata","Ornithischia","NO_ORDER_SPECIFIED","Ceratopsidae","Styracosaurus","113"
"150310","occ","","","13340","Monoclonius cutleri n. sp.","species","56145","","Centrosaurus apertus","species","63911","Campanian","","83.6","72.2","5980","-111.800003","50.730000","Chordata","Ornithischia","NO_ORDER_SPECIFIED","Ceratopsidae","Centrosaurus","113"
"150311","occ","","","13341","Apatosaurus laticollis n. sp.","species","52974","","Apatosaurus louisae","species","57752","Kimmeridgian","Tithonian","154.8","143.1","5981","-105.187332","39.653423","Chordata","Saurischia","NO_ORDER_SPECIFIED","Diplodocidae","Apatosaurus","41"
"150313","occ","","I","13343","Hispanosauropus hauboldi n. gen. n. sp.","species","68178","","Hispanosauropus hauboldi","species","68178","Kimmeridgian","","154.8","149.2","5982","-5.076468","43.468056","Chordata","Saurischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Hispanosauropus","125"
"150314","occ","","I","13342","Hispanosauropus hauboldi","species","68178","","Hispanosauropus hauboldi","species","68178","Kimmeridgian","","154.8","149.2","5982","-5.249015","43.498878","Chordata","Saurischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Hispanosauropus","125"
"150324","occ","35786","F","13347","Macroolithus rugustus","species","67192","","Macroolithus rugustus","species","67191","Maastrichtian","","72.2","66","18353","99.926941","43.720554","Chordata","Saurischia","NO_ORDER_SPECIFIED","Elongatoolithidae","Macroolithus","112"
"150326","occ","17810","F","13349","Macroolithus rugustus","species","67192","","Macroolithus rugustus","species","67191","Maastrichtian","","72.2","66","17027","84.004700","47.591900","Chordata","Saurischia","NO_ORDER_SPECIFIED","Elongatoolithidae","Macroolithus","112"
"150327","occ","42593","F","13350","Spheroolithus irenensis","species","84305","recombined as","Paraspheroolithus irenensis","species","68510","Cenomanian","Santonian","100.5","83.6","92750","101.331947","43.938889","Chordata","Ornithischia","NO_ORDER_SPECIFIED","Spheroolithidae","Paraspheroolithus","39"
"150350","occ","","","13352","Diplodocus carnegii","species","65917","","Diplodocus carnegii","species","65917","Kimmeridgian","Tithonian","154.8","143.1","1808","-105.916199","42.152302","Chordata","Saurischia","NO_ORDER_SPECIFIED","Diplodocidae","Diplodocus","41"
"150847","occ","","","13305","Patagopteryx deferrariisi n. gen. n. sp.","species","68529","","Patagopteryx deferrariisi","species","68529","Santonian","","85.7","83.6","6047","-68.234169","-38.953888","Chordata","Saurischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Patagopteryx","114"
"150848","occ","30121","","13305","Neuquenornis volans n. gen. n. sp.","species","100989","","Neuquenornis volans","species","100989","Santonian","","85.7","83.6","6046","-68.234169","-38.953888","Chordata","Saurischia","NO_ORDER_SPECIFIED","Avisauridae","Neuquenornis","114"
"150849","occ","","","13409","Megalosaurus wetherilli n. sp.","species","55479","recombined as","Dilophosaurus wetherilli","species","55479","Sinemurian","Pliensbachian","199.5","184.2","13844","-110.320000","36.145279","Chordata","Saurischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Dilophosaurus","43"
"150850","occ","","","13410","Megalosaurus wetherilli","species","55479","recombined as","Dilophosaurus wetherilli","species","55479","Sinemurian","Pliensbachian","199.5","184.2","13844","-110.300003","36.099998","Chordata","Saurischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Dilophosaurus","43"
"150851","occ","18326","","13411","Graciliceratops mongoliensis n. gen. n. sp.","species","67674","","Graciliceratops mongoliensis","species","67674","Cenomanian","Santonian","100.5","83.6","14425","101.331947","43.938889","Chordata","Ornithischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Graciliceratops","39"
"154975","occ","22652","","13777","Bagaceratops rozhdestvenskyi n. gen. n. sp.","species","52826","","Bagaceratops rozhdestvenskyi","species","52826","Middle Campanian","Late Campanian","83.6","72.2","6048","99.750000","43.250000","Chordata","Ornithischia","NO_ORDER_SPECIFIED","Protoceratopsidae","Bagaceratops","113"
"154986","occ","","","13776","Gobipteryx minuta n. gen. n. sp.","species","57334","","Gobipteryx minuta","species","57334","Middle Campanian","Late Campanian","83.6","72.2","9759","101.125000","43.487499","Chordata","Saurischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Gobipteryx","113"
"162544","occ","","","14404","Eolambia caroljonesa","species","66500","","Eolambia caroljonesa","species","66500","Early Cenomanian","","100.5","93.9","78573","-111.169998","38.799999","Chordata","Ornithischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Eolambia","117"
"216894","occ","","","22073","Francolinus lathami","species","372655","recombined as","Peliperdix lathami","species","372655","Holocene","","0.0117","0","5324","29.823099","1.231400","Chordata","Saurischia","Galliformes","Phasianidae","Peliperdix","32"
"219923","occ","","F","22637","Megaloolithus patagonicus","species","81783","","Megaloolithus jabalpurensis","species","81782","Early Campanian","Middle Campanian","83.6","72.2","24402","-68.516670","-37.883331","Chordata","Saurischia","NO_ORDER_SPECIFIED","Megaloolithidae","Megaloolithus","113"
"219965","occ","30389","","22645","Iguanodon bernissartensis n. sp.","species","58905","","Iguanodon bernissartensis","species","58905","Barremian","Early Aptian","125.77","119.57","19188","3.650000","50.476002","Chordata","Ornithischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Iguanodon","40"
"219971","occ","","","22648","Diplodocus longus","species","52920","","Diplodocus longus","species","52920","Kimmeridgian","Tithonian","154.8","143.1","13100","-106.048615","42.017776","Chordata","Saurischia","NO_ORDER_SPECIFIED","Diplodocidae","Diplodocus","41"
"219973","occ","12664","","22648","Stegosaurus stenops","species","56491","","Stegosaurus stenops","species","56491","Kimmeridgian","Tithonian","154.8","143.1","58803","-106.048615","42.017776","Chordata","Ornithischia","NO_ORDER_SPECIFIED","Stegosauridae","Stegosaurus","41"
"219974","occ","12665","","22648","Apatosaurus excelsus","species","56547","recombined as","Brontosaurus excelsus","species","52982","Kimmeridgian","Tithonian","154.8","143.1","13281","-106.048615","42.017776","Chordata","Saurischia","NO_ORDER_SPECIFIED","Diplodocidae","Brontosaurus","41"
"219975","occ","","","22648","Creosaurus atrox","species","52970","","Allosaurus fragilis","species","52962","Kimmeridgian","Tithonian","154.8","143.1","13098","-106.048615","42.017776","Chordata","Saurischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Allosaurus","41"
"219980","occ","18816","","22650","Camarasaurus lentus","species","71837","","Camarasaurus lentus","species","63764","Late Kimmeridgian","","152.21","149.2","19566","-108.120003","43.380001","Chordata","Saurischia","NO_ORDER_SPECIFIED","Camarasauridae","Camarasaurus","125"
"219990","occ","18103","","22652","Prosaurolophus blackfeetensis","species","57631","","Prosaurolophus maximus","species","53384","Late Campanian","","83.6","72.2","17718","-113.750000","48.630001","Chordata","Ornithischia","NO_ORDER_SPECIFIED","Hadrosauridae","Prosaurolophus","113"
"219992","occ","","","22653","Maiasaura peeblesorum","species","55574","","Maiasaura peeblesorum","species","55574","Middle Campanian","","83.6","72.2","5724","-113.750000","48.633301","Chordata","Ornithischia","NO_ORDER_SPECIFIED","Hadrosauridae","Maiasaura","113"
"219993","occ","12168","","22653","Orodromeus makelai","species","64338","","Orodromeus makelai","species","64338","Middle Campanian","","83.6","72.2","7404","-113.750000","48.633301","Chordata","Ornithischia","NO_ORDER_SPECIFIED","Thescelosauridae","Orodromeus","113"
"220009","occ","","","22657","Tyrannosaurus rex","species","54833","","Tyrannosaurus rex","species","54833","Late Campanian","","83.6","72.2","5721","-111.524582","50.727234","Chordata","Saurischia","NO_ORDER_SPECIFIED","Tyrannosauridae","Tyrannosaurus","113"
"220010","occ","13659","","22657","Centrosaurus apertus","species","63911","","Centrosaurus apertus","species","63911","Late Campanian","","83.6","72.2","14847","-111.524582","50.727234","Chordata","Ornithischia","NO_ORDER_SPECIFIED","Ceratopsidae","Centrosaurus","113"
"220028","occ","","","22659","Albertosaurus libratus","species","57255","recombined as","Gorgosaurus libratus","species","53194","Late Campanian","","83.6","72.2","5924","-111.484657","50.750553","Chordata","Saurischia","NO_ORDER_SPECIFIED","Tyrannosauridae","Gorgosaurus","113"
"220033","occ","","","22663","Syntarsus rhodesiensis","species","55541","recombined as","Megapnosaurus rhodesiensis","species","55541","Hettangian","Sinemurian","201.4","192.9","5925","30.100000","-16.216667","Chordata","Saurischia","NO_ORDER_SPECIFIED","Coelophysidae","Megapnosaurus","43"
"220038","occ","13231","","22665","Kotasaurus yamanpalliensis","species","66498","","Kotasaurus yamanpalliensis","species","66498","Sinemurian","Pliensbachian","199.5","184.2","43786","79.845581","19.106924","Chordata","Saurischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Kotasaurus","43"
"220070","occ","37935","","22680","Plateosaurus trossingensis","species","64679","","Plateosaurus trossingensis","species","64679","Norian","","227.3","205.7","75731","8.016667","47.500000","Chordata","Saurischia","NO_ORDER_SPECIFIED","Plateosauridae","Plateosaurus","136"
"220082","occ","","","22683","Plateosaurus trossingensis n. sp.","species","64679","","Plateosaurus trossingensis","species","64679","Norian","","227.3","205.7","26308","8.650000","48.066669","Chordata","Saurischia","NO_ORDER_SPECIFIED","Plateosauridae","Plateosaurus","136"
"220090","occ","","","22685","Velociraptor mongoliensis","species","54554","","Velociraptor mongoliensis","species","54554","Late Campanian","","83.6","72.2","63431","103.333336","44.250000","Chordata","Saurischia","NO_ORDER_SPECIFIED","Dromaeosauridae","Velociraptor","113"
"220091","occ","","","22685","Protoceratops andrewsi","species","52824","","Protoceratops andrewsi","species","52824","Late Campanian","","83.6","72.2","63431","103.333336","44.250000","Chordata","Ornithischia","NO_ORDER_SPECIFIED","Protoceratopsidae","Protoceratops","113"
"220095","occ","","","22687","Hypsilophodon foxii","species","54190","","Hypsilophodon foxii","species","54190","Barremian","","125.77","121.4","5672","-1.250000","50.700001","Chordata","Ornithischia","NO_ORDER_SPECIFIED","Hypsilophodontidae","Hypsilophodon","120"
"220096","occ","","","22689","Prosaurolophus blackfeetensis","species","57631","","Prosaurolophus maximus","species","53384","Late Campanian","","83.6","72.2","5724","-113.750000","48.633301","Chordata","Ornithischia","NO_ORDER_SPECIFIED","Hadrosauridae","Prosaurolophus","113"
"220097","occ","18104","","22689","Hypacrosaurus cf. stebingeri","species","64339","","Hypacrosaurus stebingeri","species","64339","Late Campanian","","83.6","72.2","17718","-113.750000","48.633301","Chordata","Ornithischia","NO_ORDER_SPECIFIED","Hadrosauridae","Hypacrosaurus","113"
"220099","occ","","","22689","Troodon formosus","species","54818","","Troodon formosus","species","54818","Late Campanian","","83.6","72.2","5724","-113.750000","48.633301","Chordata","Saurischia","NO_ORDER_SPECIFIED","Troodontidae","Troodon","113"
"220100","occ","33242","","22689","Daspletosaurus horneri","species","351539","","Daspletosaurus horneri","species","351539","Late Campanian","","83.6","72.2","62031","-113.750000","48.633301","Chordata","Saurischia","NO_ORDER_SPECIFIED","Tyrannosauridae","Daspletosaurus","113"
"220109","occ","","","22691","Maiasaura peeblesorum","species","55574","","Maiasaura peeblesorum","species","55574","Middle Campanian","","83.6","72.2","5724","-112.701118","48.479202","Chordata","Ornithischia","NO_ORDER_SPECIFIED","Hadrosauridae","Maiasaura","113"
"220124","occ","23117","","22699","Pachyrhinosaurus lakustai n. sp.","species","167138","","Pachyrhinosaurus lakustai","species","167138","Late Campanian","","83.6","72.2","32668","-119.108101","55.063900","Chordata","Ornithischia","NO_ORDER_SPECIFIED","Ceratopsidae","Pachyrhinosaurus","113"
"220190","occ","35569","","22713","Convolosaurus marri n. gen. n. sp.","species","382687","","Convolosaurus marri","species","382687","Late Aptian","","119.57","113.2","68145","-98.476303","31.972200","Chordata","Ornithischia","NO_ORDER_SPECIFIED","Tenontosauridae","Convolosaurus","119"
"220226","occ","23105","","22727","Iguanodon bernissartensis","species","58905","","Iguanodon bernissartensis","species","58905","Late Barremian","Early Aptian","125.77","119.57","5691","8.632222","51.434166","Chordata","Ornithischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Iguanodon","40"
"220227","occ","30565","","22727","Iguanodon cf. atherfieldensis","species","64255","recombined as","Mantellisaurus atherfieldensis","species","64255","Late Barremian","Early Aptian","125.77","119.57","5691","8.632222","51.434166","Chordata","Ornithischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Mantellisaurus","40"
"220228","occ","18442","","22727","Iguanodon cf. bernissartensis","species","58905","","Iguanodon bernissartensis","species","58905","Late Barremian","Early Aptian","125.77","119.57","5691","8.632222","51.434166","Chordata","Ornithischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Iguanodon","40"
"221280","occ","18488","","22655","Styracosaurus albertensis","species","56144","","Styracosaurus albertensis","species","56144","Late Campanian","","83.6","72.2","18896","-111.494217","50.736092","Chordata","Ornithischia","NO_ORDER_SPECIFIED","Ceratopsidae","Styracosaurus","113"
"221281","occ","","","22659","Centrosaurus apertus","species","63911","","Centrosaurus apertus","species","63911","Late Campanian","","83.6","72.2","18556","-111.484657","50.750553","Chordata","Ornithischia","NO_ORDER_SPECIFIED","Ceratopsidae","Centrosaurus","113"
"225582","occ","30574","","21852","Diplodocus longus","species","52920","","Diplodocus longus","species","52920","Early Tithonian","","149.2","145.06","14579","-109.300552","40.441387","Chordata","Saurischia","NO_ORDER_SPECIFIED","Diplodocidae","Diplodocus","124"
"225662","occ","","","21902","Numida meleagris","species","372652","","Numida meleagris","species","372651","Holocene","","0.0117","0","5230","33.750000","16.250000","Chordata","Saurischia","Galliformes","Numididae","Numida","32"
"225699","occ","","","21903","Numida meleagris","species","372652","","Numida meleagris","species","372651","Holocene","","0.0117","0","5230","33.750000","16.250000","Chordata","Saurischia","Galliformes","Numididae","Numida","32"
"225705","occ","","","21903","Francolinus clappertoni","species","372653","recombined as","Pternistis clappertoni","species","372653","Holocene","","0.0117","0","5230","33.750000","16.250000","Chordata","Saurischia","Galliformes","Phasianidae","Pternistis","32"
"225723","occ","","","21904","Numida meleagris","species","372652","","Numida meleagris","species","372651","Holocene","","0.0117","0","5230","33.750000","16.250000","Chordata","Saurischia","Galliformes","Numididae","Numida","32"
"226152","occ","","","21958","Numida meleagris","species","372652","","Numida meleagris","species","372651","Holocene","","0.0117","0","5230","33.750000","16.250000","Chordata","Saurischia","Galliformes","Numididae","Numida","32"
"229313","occ","12169","","22690","Hypacrosaurus stebingeri","species","64339","","Hypacrosaurus stebingeri","species","64339","Late Campanian","","83.6","72.2","12559","-113.750000","48.633301","Chordata","Ornithischia","NO_ORDER_SPECIFIED","Hadrosauridae","Hypacrosaurus","113"
