"orig_no","taxon_no","record_type","flags","taxon_rank","taxon_name","difference","accepted_no","accepted_rank","accepted_name","parent_no","parent_name","reference_no","is_extant","n_occs","firstapp_max_ma","firstapp_min_ma","lastapp_max_ma","lastapp_min_ma","early_interval","late_interval","taxon_size","extant_size","phylum","class","order","family","genus","type_taxon"
"276913","276913","txn","","","Paraortygoides radagasti","","276913","species","Paraortygoides radagasti","135608","Paraortygoides","48029","extinct","0","","","","","","","1","0","Chordata","Saurischia","Galliformes","Gallinuloididae","Paraortygoides",""
"499251","499251","txn","","","Paraortygoides argillae","","499251","species","Paraortygoides argillae","135608","Paraortygoides","89502","extinct","1","56","48.07","56","48.07","Ypresian","","1","0","Chordata","Saurischia","Galliformes","Gallinuloididae","Paraortygoides",""
"499256","499256","txn","","","Waltonortyx bumbanipodiides","","499256","species","Waltonortyx bumbanipodiides","499255","Waltonortyx","89502","extinct","1","56","48.07","56","48.07","Ypresian","","1","0","Chordata","Saurischia","Galliformes","Waltonortygidae","Waltonortyx",""
"96508","96508","txn","","","Amitabha urbsinterdictensis","","96508","species","Amitabha urbsinterdictensis","96507","Amitabha","23568","extinct","1","51.1","45.9","51.1","45.9","Ypresian","Lutetian","1","0","Chordata","Saurischia","Galliformes","","Amitabha",""
"195905","195905","txn","","","Namaortyx sperrgebietensis","","195905","species","Namaortyx sperrgebietensis","195904","Namaortyx","37112","extinct","1","41.03","37.71","41.03","37.71","Bartonian","","1","0","Chordata","Saurischia","Galliformes","","Namaortyx",""
"335137","335137","txn","","","Colinus eatoni","","335137","species","Colinus eatoni","129783","Colinus","57738","extinct","0","","","","","","","1","0","Chordata","Saurischia","Galliformes","Odontophoridae","Colinus",""
"129784","129785","txn","","","Colinus virginianus","","129784","species","Colinus virginianus","129783","Colinus","12782","extant","23","2.58","1.8","0.0117","0","Gelasian","Holocene","1","1","Chordata","Saurischia","Galliformes","Odontophoridae","Colinus",""
"432125","432125","txn","","","Colinus hibbardi","","432125","species","Colinus hibbardi","129783","Colinus","75140","extinct","0","","","","","","","1","0","Chordata","Saurischia","Galliformes","Odontophoridae","Colinus",""
"290128","290128","txn","","","Colinus suilium","","290128","species","Colinus suilium","129783","Colinus","50473","extinct","5","4.7","1.4","0.129","0.0117","Zanclean","Late Pleistocene","1","0","Chordata","Saurischia","Galliformes","Odontophoridae","Colinus",""
"372229","372230","txn","","","Colinus cristatus","","372229","species","Colinus cristatus","129783","Colinus","12782","extant","1","0.129","0.0117","0.129","0.0117","Late Pleistocene","","1","1","Chordata","Saurischia","Galliformes","Odontophoridae","Colinus",""
"403818","403818","txn","","","Odontophorus columbianus","","403818","species","Odontophorus columbianus","373579","Odontophorus","71102","extant","0","","","","","","","1","1","Chordata","Saurischia","Galliformes","Odontophoridae","Odontophorus",""
"373578","373580","txn","","","Odontophorus guttatus","","373578","species","Odontophorus guttatus","373579","Odontophorus","65172","extant","1","0.0117","0","0.0117","0","Holocene","","1","1","Chordata","Saurischia","Galliformes","Odontophoridae","Odontophorus",""
"403819","403819","txn","","","Odontophorus capueira","","403819","species","Odontophorus capueira","373579","Odontophorus","71102","extant","0","","","","","","","1","1","Chordata","Saurischia","Galliformes","Odontophoridae","Odontophorus",""
"67342","67342","txn","","","Nanortyx inexpectatus","","67342","species","Nanortyx inexpectatus","67341","Nanortyx","14302","extinct","1","37","33.9","37","33.9","Priabonian","","1","0","Chordata","Saurischia","Galliformes","Odontophoridae","Nanortyx",""
"367397","368034","txn","","","Callipepla gambelii","","367397","species","Callipepla gambelii","291634","Callipepla","65172","extant","0","","","","","","","1","1","Chordata","Saurischia","Galliformes","Odontophoridae","Callipepla",""
"368513","368514","txn","","","Callipepla douglasii","","368513","species","Callipepla douglasii","291634","Callipepla","65172","extant","1","0.21","0.014","0.21","0.014","Chibanian","Late Pleistocene","1","1","Chordata","Saurischia","Galliformes","Odontophoridae","Callipepla",""
"368467","368468","txn","","","Callipepla californica","","368467","species","Callipepla californica","291634","Callipepla","65172","extant","19","0.774","0.129","0.0117","0","Chibanian","Holocene","1","1","Chordata","Saurischia","Galliformes","Odontophoridae","Callipepla",""
"105633","105633","txn","","","Lophortyx shotwelli","","105633","species","Lophortyx shotwelli","291634","Callipepla","25093","extinct","1","9.4","4.7","9.4","4.7","Tortonian","Zanclean","1","0","Chordata","Saurischia","Galliformes","Odontophoridae","Callipepla",""
"290229","290229","txn","","","Miortyx teres","","290229","species","Miortyx teres","39343","Miortyx","50494","extinct","1","18.5","16.3","18.5","16.3","Burdigalian","","1","0","Chordata","Saurischia","Galliformes","Odontophoridae","Miortyx",""
"381207","381207","txn","","","Miortyx aldeni","","381207","species","Miortyx aldeni","39343","Miortyx","57863","extinct","0","","","","","","","1","0","Chordata","Saurischia","Galliformes","Odontophoridae","Miortyx",""
"369179","369180","txn","","","Cyrtonyx montezumae","","369179","species","Cyrtonyx montezumae","161740","Cyrtonyx","65172","extant","2","0.129","0.0117","0.129","0","Late Pleistocene","Holocene","1","1","Chordata","Saurischia","Galliformes","Odontophoridae","Cyrtonyx",""
"373581","373582","txn","","","Cyrtonyx ocellatus","","373581","species","Cyrtonyx ocellatus","161740","Cyrtonyx","65172","extant","1","0.0117","0","0.0117","0","Holocene","","1","1","Chordata","Saurischia","Galliformes","Odontophoridae","Cyrtonyx",""
"290252","290252","txn","","","Cyrtonyx tedfordi","","290252","species","Cyrtonyx tedfordi","161740","Cyrtonyx","50496","extinct","1","16.3","12.5","16.3","12.5","Burdigalian","Serravallian","1","0","Chordata","Saurischia","Galliformes","Odontophoridae","Cyrtonyx",""
"432127","432127","txn","","","Cyrtonyx cooki","","432127","species","Cyrtonyx cooki","161740","Cyrtonyx","75140","extinct","1","18.5","16.3","18.5","16.3","Burdigalian","","1","0","Chordata","Saurischia","Galliformes","Odontophoridae","Cyrtonyx",""
"365974","365991","txn","","","Ptilopachus petrosus","","365974","species","Ptilopachus petrosus","365990","Ptilopachus","64665","extant","1","0.774","0.0117","0.774","0.0117","Chibanian","Late Pleistocene","1","1","Chordata","Saurischia","Galliformes","Odontophoridae","Ptilopachus",""
"161524","369260","txn","","","Oreortyx pictus","","161524","species","Oreortyx pictus","161521","Oreortyx","65172","extant","3","0.129","0.0117","0.129","0.0117","Late Pleistocene","","1","1","Chordata","Saurischia","Galliformes","Odontophoridae","Oreortyx",""
"312388","312388","txn","","","Scopelortyx klinghardtensis","","312388","species","Scopelortyx klinghardtensis","312387","Scopelortyx","54011","extinct","1","41.03","37.71","41.03","37.71","Bartonian","","1","0","Chordata","Saurischia","Galliformes","","Scopelortyx",""
